Scientific name,Common name,Year,Type,Division or monocot/dicot,Chr (#),Size,Assembled,Assem,Gene (#),Repeat,scaffold N50,contig N50,Sequencer types,Journal,PMID
Solanum tuberosum,potato,2011,crop,dicot,12,844,727,86,"39,031",62,1318,31,"Sa,4,I",Nature,
Thellungiella parvula,thellungiella,2011,model,dicot,7,140,137,98,"30,419",8,5290,NA,"4,I",Nature Genetics,
Cucumis sativus,cucumber,2011,crop,dicot,7,367,323,88,"26,587",NA,319,323,"Sa,4",PlosOne,
Brassica rapa,chinese cabbage,2011,crop,dicot,10,485,284,59,"41,174",40,1971,27,I,Nature Genetics,
Cannabis sativa,hemp,2011,crop,dicot,?,820,787,96,"30,074",NA,16,2,"4,I",Genome Biology,
Cajanus cajan,pigeon pea,2011,crop,dicot,11,833,605,72,"48,680",52,516,22,"Sa,I",Nature Biotechnology,
Mediucago truncatula,medicago,2011,model,dicot,8,454,262,58,"62,388",31,1270,NA,"Sa,4,I",Nature,
Setaria italica,setaria,2012,model,monocot,9,490,423,86,"38,801",46,1007,25,I,Nature Biotechnology,
Setaria italica,setaria,2012,model,monocot,9,510,397,80,"35,471",40,"47,300",126,Sa,Nature Biotechnology,
Solanum lycopersicum,tomato,2012,crop,dicot,12,900,760,84,"34,727",63,"16,467",87,"Sa,4,S,I",Nature,
Cucumis melo,melon,2012,crop,dicot,12,450,375,83,"27,427",NA,4680,18,"Sa,4,I",PNAS,
Linum usitatissimum,flax,2012,crop,dicot,15,373,318,85,"43,484",24,132,20,I,Plant Journal,
Musa acuminata malaccensis,banana,2012,crop,monocot,11,523,472,90,"36,542",44,1311,43,"Sa,4,I",Nature,
Gossypium raimondii,cotton D,2012,crop,dicot,13,880,775,88,"40,976",60,2284,45,I,Nature Genetics,
Azadirachta indica,neem,2012,crop,dicot,NA,364,NA,NA,"20,169",13,452,1,"4,I",BMC Genomics,
Hordeum vulgare,barely,2012,crop,monocot,7,5100,4980,98,"30,400",84,NA,NA,NA,Nature,
Pyrus bretschneideri,pear,2013,crop,dicot,17,527,512,97,"42,812",53,541,36,I,Genome Research,
Citrullus lanatus,watermelon,2012,crop,dicot,11,425,354,83,"23,440",45,2380,26,I,Nature Genetics,
Triticum aestivum,wheat,2012,crop,monocot,21,"17,000",3800,22,"94,000",80,NA,1,4,Nature,
Gossypium raimondii,cotton D,2012,crop,dicot,13,880,738,84,"37,505",61,"18,800",136,"Sa,4,I",Nature,
Prunus mume,chinese plum,2012,crop,dicot,8,280,237,85,"31,390",45,578,32,I,Nature Communications,
Cicer arietinum,chickpea,2013,crop,dicot,8,738,532,72,"28,269",49,"39,990",24,"Sa,I",Nature Biotechnology,
Hevea brasiliensis,rubber tree,2013,crop,dicot,18,2150,1119,52,"68,955",72,3,NA,"4,S,I",BMC Genomics,
Phyllostachys heterocycla,moso bamboo,2013,non-model,monocot,24,2075,2051,99,"31,987",59,329,12,I,Nature Genetics,
Oryza brachyantha,rice relative,2013,non-model,monocot,12,300,263,88,"32,038",29,1013,20,I,Nature Communications,
Prunus persica,peach,2013,crop,dicot,8,265,227,86,"27,852",37,"27,400",214,Sa,Nature Genetics,
Aegilops tauschii,wheat DD,2013,crop,monocot,7,4360,4244,97,"43,150",66,58,5,"4,I",Nature,
Triticum urartu,wheat AA,2013,crop,monocot,7,4940,4660,94,"34,879",67,64,3,I,Nature,
Nelumbo nucifera,ancient lotus,2013,non-model,dicot,8,929,804,87,"26,685",57,3400,39,I,Genome Biology,
Utricularia gibba,bladderwort,2013,non-model,dicot,16,77,82,106,"28,500",3,95,26,"4,I",Nature,
Picea abies,norway spruce,2013,crop,gymnosperm,12,"19,600","12,000",61,"28,354",NA,NA,NA,,Nature,
Capsella rubella,capsella,2013,non-model,dicot,8,219,135,62,"26,521",NA,"15,100",134,Sa,Nature Genetics,
